GameID,Season,Fight_Time,Period,Period_Label,Team,Opponent,Is_Home,Score_State_At_Fight,Was_Trailing,Corsi_Before,Corsi_After,Corsi_Delta,Shots_Before,Shots_After,Shots_Delta,Goals_Before,Goals_After,xG_Before,xG_After,xG_Delta,Gained_Momentum
2010020005,2010,353,1,Period 1,EDM,CGY,1,0,0,4.0,11.0,7.0,3.0,6.0,3.0,0.0,1.0,0.0574746689666382,0.40872383871578066,0.35124916974914244,1
2010020005,2010,353,1,Period 1,CGY,EDM,0,0,0,4.0,5.0,1.0,2.0,4.0,2.0,0.0,0.0,0.15218264610186188,0.1816313328788658,0.029448686777003907,1
2010020005,2010,1912,2,Period 2,EDM,CGY,1,1,0,7.0,1.0,-6.0,3.0,0.0,-3.0,0.0,0.0,0.45695746648871505,0.0,-0.45695746648871505,0
2010020005,2010,1912,2,Period 2,CGY,EDM,0,-1,1,3.0,12.0,9.0,3.0,5.0,2.0,0.0,0.0,0.0966152666267637,0.36876597323695093,0.27215070661018725,1
2010020005,2010,2049,2,Period 2,EDM,CGY,1,1,0,3.0,7.0,4.0,1.0,4.0,3.0,0.0,0.0,0.1364246989983694,0.7915320280867606,0.6551073290883912,1
2010020005,2010,2049,2,Period 2,CGY,EDM,0,-1,1,6.0,8.0,2.0,3.0,4.0,1.0,0.0,0.0,0.19661042178012128,0.228170292528996,0.03155987074887473,1
2010020005,2010,3460,3,Period 3,EDM,CGY,1,4,0,4.0,1.0,-3.0,1.0,0.0,-1.0,0.0,0.0,0.5175256472596717,0.0,-0.5175256472596717,0
2010020005,2010,3460,3,Period 3,CGY,EDM,0,-4,1,7.0,3.0,-4.0,1.0,1.0,0.0,0.0,0.0,0.1967516387170047,0.0157225200427734,-0.18102911867423133,0
2010020006,2010,566,1,Period 1,CBJ,SJS,1,-1,1,10.0,1.0,-9.0,6.0,0.0,-6.0,0.0,0.0,0.5332168702099237,0.0,-0.5332168702099237,0
2010020006,2010,566,1,Period 1,SJS,CBJ,0,1,0,2.0,5.0,3.0,1.0,4.0,3.0,0.0,1.0,0.1936049027159325,0.5950657774991719,0.4014608747832394,1
2010020006,2010,1838,2,Period 2,CBJ,SJS,1,0,0,1.0,6.0,5.0,1.0,4.0,3.0,0.0,0.0,0.0497770124472616,0.27187337034073067,0.22209635789346907,1
2010020006,2010,1838,2,Period 2,SJS,CBJ,0,0,0,14.0,1.0,-13.0,6.0,1.0,-5.0,0.0,0.0,1.0765211050884445,0.0186967239440042,-1.0578243811444403,0
2010020008,2010,488,1,Period 1,CAR,MIN,1,0,0,4.0,2.0,-2.0,3.0,1.0,-2.0,0.0,0.0,0.1929122147452923,0.1093220621530862,-0.0835901525922061,0
2010020008,2010,488,1,Period 1,MIN,CAR,0,0,0,13.0,3.0,-10.0,8.0,3.0,-5.0,0.0,0.0,0.6824257470380245,0.1648190945175736,-0.5176066525204509,0
